요리명,조리방법,조리분류,열량,탄수화물,단백질,지방,나트륨,재료
황태포당면국수,끓이기,일품,338.5,17.26,0.95,0.27,72.4,"감자 80g, 양파 15g, 당근 10g, 대파 5g, 청양고추 3g, 팽이버섯 20g,
달걀 30g, 당면 70g, 쑥갓 5g,
육수 멸치 2g, 황태포 10g,
양념 다진 마늘 1g, 저염간장 2g, 소금 0.6g, 후춧가루 0.5g"
닭갈비볶음면,볶기,일품,543.4,18.32,4.04,3.39,228.8,"마늘 20g, 깻잎 2g, 쪽파 1g, 파프리카 60g, 양파 40g, 대파 10g,
방울토마토 50g, 닭가슴살 30g, 이태리시즈닝 1g, 라면 110g,
양념 카레가루 2g, 고춧가루 1g, 고추장 10g, 참기름 2g"
오색볶음면,볶기,일품,466.8,25.03,5.26,7.71,952.4,"양파 40g, 청경채 30g, 두 가지 색 파프리카 각 15g,씩
쪽파 15g, 라면 60g, 채 썬 돼지고기 30g,
양념 다진 마늘 7g, 고추기름 5g, 설탕 4g, 두반장 8g, 라면스프 3g"
로제소스라면,끓이기,일품,913.4,15.78,4.73,8.57,698.8,"새우 10g, 조개 20g, 홍합 20g, 새송이버섯 15g, 양파 8g,
토마토 100g, 라면 50g, 우유 200g, 생크림 100g, 월계수잎 5g,
정향 5g, 파르메산 치즈가루 5g, 파슬리가루 8g"
라면월남쌈튀김,튀기기,반찬,422.1,25.83,5.98,15.17,445.1,"라면 20g, 배 12g, 파인애플 15g, 파프리카 10g, 쇠고기 우둔살 20g,
레드와인 20g, 매실청 20g, 라이스페이퍼 8g, 달걀 30g,
빵가루 25g, 어린잎채소 10g,
쇠고기 양념장 생강즙 1g, 저염간장 15g, 물 26g,
다진 양파 10g, 다진 파 5g, 다진 마늘 5g"
삼겹살라면,끓이기,일품,525.2,14.66,3.25,2.97,332.7,"라면 100g, 쪽파 3g,
육수 돼지고기 삼겹살 60g, 대파 20g, 얇게 썬 생강 5g, 가다랑어포 3g,
조림양념 저염간장 3g, 맛술 8g, 흑설탕 3g"
유자샐러드라면,끓이기,일품,307.9,26.6,3.14,4.86,145,"라면 55g, 양상추 40g, 케일 5g, 파프리카 20g, 비타민 5g,
유자드레싱 식초 2g, 레몬즙 5g, 유자청 15g, 올리브유 1g"
주꾸미머리순대,찌기,반찬,60,0.8,11.8,1.1,122,"주꾸미 200g, 미나리 20g, 양파 25g, 당근 20g, 계란 60g,
다진마늘 15g, 생강청 15g, 레몬즙 10g, 고추장 15g, 레몬즙 10g, 생강청 10g, 통깨 3g"
매실동치미,기타,반찬,76.8,18.4,0.7,0,79.2,"무 50g, 연근 25g, 사과 25g, 배 30g, 함초소금 2g, 매실청 30g, 생강청 15g, 함초소금 1g, 청양고추 10g"
조기까스,굽기,반찬,135.8,4.3,15.4,6.3,240.4,"조기 1마리 250g, 허브크러스트 100g, 흰 후추 1g, 화이트와인 15g, 마늘오일 15g, 전분 15g, 고추장 15g, 저염간장 15g, 화이트와인 15g, 버터 5g,
다진양파 15g, 흰후추 1g, 마늘오일 15g"
돼지머리수육맑은전골,끓이기,일품,233.4,20.7,103.8,10.6,552.7,"돼지머리 200g, 우동면 100g, 미나리 20g, 청고추 15g, 일본 된장 30g, 다진마늘 10g, 다진대파 10g, 청주 15g, 무 25g, 해물육수 300g, 청양고추 20g, 맛간장 15g"
파인애플볶음밥,볶기,밥,285.3,36.6,12.3,10,280.1,"밥 150g, 칵테일새우 50g, 파인애플 통조림 100g, 양파 60g, 청고추 15g, 
노란파프리카 20g, 빨간파프리카 20g, 마늘 15g, 계란 60g, 마늘기름 30g,
흰후추 1g, 레몬소금 1g, 맛간장 15g, 통깨 10g"
연근초무침,기타,반찬,119.1,20.4,1.6,3.5,81.4,"연근 200g, 양파 60g, 오이 40g, 밤 60g, 유자청 25g, 강황가루 2g, 잣 2g, 설탕 5g, 식초 15g"
코다리맑은찜,찌기,반찬,96.7,1.1,19.1,1.8,431,"코다리 250g, 콩나물 50g, 미나리 20g, 함초 25g, 무 30g, 함초소금 1g, 간편어간장 15g, 함초소금 1g, 생강청 15g, 흰후추 1g, 청주 15g,
레몬즙 5g, 다진마늘 15g, 연겨자 7g, 통깨 10g"
뿌리채소두부선,찌기,반찬,184.5,19.7,9.4,7.6,135,"두부 300g, 전분 50g, 계란 60g, 흰후추 2g, 우엉 30g, 인삼 15g, 감자 30g, 청고추 10g, 홍고추 15g, 마늘기름 15g, 흰후추 1g, 일본된장 15g, 마늘기름 15g, 들기름 15g, 식초 30g, 올리고당 5g,
마요네즈 15g, 땅콩잼 30g, 참깨 2g"
사과장아찌,기타,반찬,291.2,64.9,1.9,2.7,736.7,"풋사과 200g, 양파 80g, 청고추 20g, 홍고추 20g, 맛간장 30g, 식초 30g, 설탕 10g, 생강청 30g, 매실청 15g, 청주 30g"
해물들깨탕,끓이기,국&찌개,148.7,7.4,21.1,3.9,295.8,"주꾸미 80g, 전복 100g, 칵테일새우 50g, 양파 560g,
청고추 17g, 홍고추 17g, 계란 60g, 청주 15g, 거피한 들깨가루 100g, 저염간장 15g, 다진마늘 15g, 다진대파 7g"
참외깍두기,기타,반찬,64.1,13.9,1.5,0.3,464.1,"참외 200g, 양파 60g, 청고추 17g, 홍고추 17g, 대파 15g, 미나리 20g, 저염간장 15g, 생강청 10g, 고춧가루 10g, 통깨 5g, 다진마늘 5g"
새콤한연어샐러드,기타,반찬,118.3,5.4,8.6,6.9,48.1,"연어 60g, 어린잎 20g, 말린 토마토 15g, 양파 50g, 2가지색 미니파프리카 70g, 유자청 30g, 감식초 15g, 정종 100ml 볶은소금 0.5g"
논우렁순무섞박지,기타,반찬,103,18.6,6.5,0.3,616.5,"콜라비 200g, 논우렁 100g, 미나리 25g, 양파 60g, 청고추 15g, 홍고추 15g, 대파 10g, 고춧가루 20g, 생강청 15g, 저염간장 15g, 다진마늘 15g, 플레인요구르트 15g"
코다리맑은탕,끓이기,국&찌개,162.3,7.7,24.2,3.9,110.8,"코다리 200g, 무 60g, 감자 60g, 양파 15g, 청양고추 30g,
미나리 25g, 백일송이버섯 25g, 참기름 15g, 다진마늘 15g, 저염간장 15g, 흰후추 1g"
세가지샐러드,기타,반찬,202.4,12.6,16.1,9.8,209.2,"연두부 100g, 닭고기살 50g, 통후추 1g, 단호박 20g,
바나나 20g, 파프리카 20g, 토마토 20g, 어린잎 10g,
 마 20g, 생크림 20g, 요거트 20g, 식초 5g,
올리브오일 10g, 설탕 10g, 흑임자 5g, 잣 10g"
애호박들깨볶음,볶기,반찬,184.6,16.2,10.4,8.7,202,"애호박 150g, 소금 0.5g, 양파 20g, 대파 10g,
홍고추 10g, 들기름 20g, 다진 마늘 5g, 건새우 20g,
들깨가루 30g"
고구마바나나샐러드,찌기,반찬,348.8,64.8,4.8,7.8,111.4,"고구마 100g, 바나나 100g, 요거트 30g, 어린잎 20g,
잣 5g, 연유 20g"
누룽지새우튀김,튀기기,반찬,558,63.5,23.5,23.3,156.7,"새우 100g, 소금 0.3g, 후춧가루 0.02g,
튀김가루 100g, 달걀 50g, 누룽지 50g, 튀김기름 200g,
 오렌지주스 100g, 설탕 10g, 식초 10g,
 어린잎 20g"
백김치주꾸미샐러드,끓이기,반찬,125.5,3.9,22.2,2.3,656.6,"백김치 100g, 주꾸미 100g, 파 10g, 양상추 10g,
홍고추 10g, 어린잎 10g,
 저염간장 20g, 식초 10g, 설탕 10g,
꿀 10g, 레몬 10g, 양파 20g, 마늘 10g"
닭고기월남쌈,끓이기,반찬,353.7,40.1,28.5,8.8,197,"닭고기살 100g, 로즈마리 5g, 양파 20g, 소금 0.5g,
후춧가루 0.02g, 오이 30g, 파프리카 30g, 당근 30g,
라이스페이퍼 20g, 녹말가루 30g, 식용유 20g,
 다진 마늘 10g, 고춧가루 10g, 설탕 20g,
식초 20g, 레몬즙 10g"
양배추롤,찌기,반찬,164.8,14.8,17.5,3.9,111.5,"닭고기살 100g, 천일염 0.5g, 후춧가루 0.3g, 식용유 10g,
정종 10g, 양배추 80g, 부추 30g, 깻잎 10g,
홍파프리카 20g, 노랑파프리카 20g, 당근 20g, 양파 20g,
 요거트 20g, 머스터드 20g, 꿀 10g, 레몬즙 10g,
설탕 5g"
단호박소고기롤,굽기,반찬,444.9,66.9,10.2,15.2,248.3,"소고기 70g, 저염간장 10g, 다진 마늘 10g, 설탕 10g,
파프리카 30g, 오이 20g, 적양배추 20g, 사과 20g,
설탕 10g, 팽이버섯 20g, 무순 5g,
 단호박 100g, 밀가루 50g, 소금 0.5g,
 다진 마늘 10g, 다진 양파 20g, 올리브오일 20g,
설탕 10g, 식초 20g, 소금 0.5g"
생선카레튀김,튀기기,반찬,555,14,22.4,45.5,260.2,"생선살 150g, 생강 10g, 정종 10g, 녹말가루 10g,
깻잎 10g,
 콩가루 20g, 밀가루 10g, 카레가루 10g,
녹말가루 10g, 달걀 50g,
 마요네즈 20g, 요구르트 20g, 설탕 10g, 식초 10g,
 양상추 30g"
삼겹가지볶음,볶기,반찬,542.4,15.9,19.5,44.5,398.8,"삼겹살 100g, 생강 5g, 정종 10g, 가지 50g, 양파 20g,
당근 20g, 깻잎 10g, 느타리버섯 20g, 대파 10g,
식용유 5g, 참기름 5g, 잣 10g, 통깨 5g,
 고춧가루 20g, 다진마늘 20g, 저염간장 30g,
올리고당 20g, 후춧가루 0.1g, 설탕 10g"
주꾸미샐러드,끓이기,반찬,129.8,16.5,12.1,1.7,244.8,"주꾸미 120g, 밀가루 10g, 식초 10g,
양상추 30g, 미나리 30g, 홍고추 10g, 피망 20g,
 배 40g, 무 20g, 와사비 5g, 설탕 20g,
다진 마늘 20g, 식초 10g, 소금 0.5g"
닭가슴살현미스테이크,튀기기,반찬,400,33.2,34.8,14.2,194.3,"닭가슴살 150g, 정종 10g, 카레가루 20g,
현미쌀 50g, 튀김기름 200g,
 토마토소스 50g, 생크림 20g,
 적양배추 20g, 양배추 20g"
삼겹선,굽기,반찬,623.9,25.9,24.2,47.1,182.7,"삼겹살 100g, 정종 20g, 소금 0.5g, 후춧가루 0.05g,
생강즙 10g, 조 20g, 쌀 50g, 양파 30g, 파프리카 30g,
당근 20g, 새송이버섯 20g, 표고버섯 20g, 깻잎 5g, 파 10g,
 설탕 20g, 식초 10g, 레몬 10g, 소금 0.5g,
고춧가루 10g, 매실액 20g"
미니버섯탕수,튀기기,반찬,269,32.6,6.9,15.3,242.7,"미니버섯 120g, 소금 0.3g, 녹말가루 50g,
달걀흰자 30g, 튀김기름 300g,
 저염간장 30g, 홍초 20g, 설탕 20g,
브로컬리 20g, 오이 20g, 당근 20g,
홍파프리카 20g, 노란파프리카 20g,
물녹말 녹말가루 10g, 물 10g"
연어오븐구이,볶기,일품,285.9,8.1,28.7,15.4,222.1,"연어 150g, 양파 50g, 토마토 100g, 파프리카 50g,
당근 30g, 마늘 20g, 청피망 30g, 레몬 소금 0.3g,
후춧가루 0.01g, 생크림 20g, 화이트크림 50g, 버터 20g"
옥음밥,볶기,밥,381.2,75.9,5.9,6,341.2,"옥수수콘 200g, 애호박 당근 20g, 양파 30g,
새송이버섯 마늘 10g, 라이스페이퍼
저염간장 20g, 쌀 150g, 후춧가루 0.01g, 식용유 10g"
와사비 연어초밥,기타,밥,417.6,70,18.8,6.9,76,"연어 100g, 쌀 150g, 당근 20g, 표고버섯
겨자가루 10g, 새싹 10g, 파슬리 5g, 식초 10g, 설탕 20g,
소금 0.2g"
원소병,끓이기,후식,320.6,73,6.1,0.5,47.2,"찹쌀가루 200g, 치자 10g, 오미자 10g, 대추 귤병 20g,
유자청 30g, 꿀 50g, 녹말 50g, 잣"
음메꼬꼬돌돌,굽기,반찬,296.7,0,41.5,14.5,275.8,"소고기 120g, 달걀 닭고기 가슴살 100g, 미나리 50g,
찹쌀가루 50g, 홍고추 소금 0.3g, 후춧가루 0.01g,
통후추 저염간장 20g, 설탕 20g, 식초 10g"
전복리조또,끓이기,밥,282.9,53.1,7.1,4.7,92.1,"쌀 100g, 전복 당근 20g, 양파 30g, 양송이버섯
우유 200g, 올리브오일 10g, 소금 0.2g, 후춧가루 0.01g,
버터 10g"
참깨흑임 자연두부샐러드,기타,반찬,309.2,15.8,9.7,23,159.9,"연두부 100g, 참깨 20g, 흑임자 20g, 파프리카 50g,
무순 10g, 날치알 20g, 설탕 20g, 식초 10g, 마요네즈 30g,
우유 30g"
초계탕,끓이기,국&찌개,103,7.1,16.2,1.1,90.1,"닭고기 양파 50g, 파프리카 50g, 적양배추 20g,
오이 50g, 마늘 30g, 겨자가루 20g, 대파 20g, 소금 0.3g,
설탕 20g, 식초 10g"
콩나물부추볶음,볶기,반찬,133.8,15,3.9,6.4,139.4,"콩나물 150g, 부추 50g, 양파 30g, 당근 20g, 파 10g,
감자 50g, 소금 0.3g, 식용유 20g"
콩비지포카치아 샌드위치,기타,일품,271.2,36.8,12.9,8,459.2,"포카치아빵 콩비지 50g, 무장아찌 20g, 토마토 50g,
생치즈 20g, 루꼴라 20g, 올리브오일 20g"
파프리카더덕소고기깻잎롤,굽기,반찬,230.7,16.9,28.8,5.3,97.8,"소고기 살치살 120g, 파프리카 50g, 더덕 100g, 깻잎
파인애플 50g, 아스파라거스 양파 50g, 꿀 20g,
레몬 식초 10g, 소금 0.2g, 올리브오일 3g,
후춧가루 0.01g"
해물아란치니,볶기,반찬,283.8,41,7.4,10,393.2,"오징어 100g, 새우 토마토 50g, 양파 30g,
마늘 20g, 샐러리 20g, 밥 100g, 달걀 어린잎 10g,
소금 0.2g, 레몬 빵가루 20g"
호박잎삼계,찌기,반찬,314.1,53.7,16,3.9,55.9,"닭고기 120g, 인삼 미나리 30g, 대추
찹쌀 50g, 소금 0.2g, 후춧가루 0.01g"
노른자크림 육회샐러드,기타,반찬,177.4,10,25.3,4,245.6,"소고기 홍두깨살 150g, 두릅 100g, 아보카도
배 마늘 20g, 달걀 레몬 크림치즈 20g,
설탕 20g, 소금 0.3g, 참기름 5g"
닭고기 완자삼계죽,끓이기,일품,150.4,26.2,9.9,0.7,51.9,"닭고기 인삼 찹쌀 50g, 대추 마늘 30g,
대파 30g, 양파 30g, 통후추 저염간장 10g"
대하마늘볶음밥,볶기,밥,286.6,32.5,14,11.2,191.4,"대하 쌀 90g, 당근 20g, 깻잎 양파 30g, 숙주 50g, 대추 청고추 파 10g, 마늘 10g, 생강 5g, 식용유 5g,
 저염간장 5g"
두부 카프리제,기타,반찬,140.2,6.8,11.1,7.6,229.6,"소고기 100g, 돼지고기 100g, 표고버섯 마 100g,
연근 20g, 감자 60g, 깻잎 애호박 마늘 20g,
두유 100g, 설탕 20g, 소금 0.2g, 저염간장 20g"
미역볶음밥,볶기,밥,515.2,25.5,5.85,5.43,488.5,"쌀 80g, 완두콩 10g, 닭고기 100g, 대추 10g, 수삼 20g,
양파 20g, 당근 10g,
양념 강황가루 3g, 맛술 15g"
청국장볶음밥,볶기,밥,467.9,25.05,4.27,4.9,234.1,"쌀 100g, 현미 30g, 감자 30g, 고구마 15g, 양파 15g, 연근 15g,
당근 15g, 애호박 15g, 우엉 15g, 마늘 3g, 시금치 5g, 참나물 10g,
깻잎 5g, 미나리 5g,
육수 다시마 2g,
양념 생청국장 30g, 들깻가루 2g, 올리브유 10g, 들기름 8g"
해물볶음밥,볶기,밥,493.2,26.9,7.28,2.99,681.9,"볶음밥 쌀 100g, 아스파라거스 5g, 새송이버섯 10g, 달걀 40g,
문어 20g, 새우살 20g, 주꾸미 15g,
미나리볶음고추장 무 20g, 우엉 10g, 미나리 5g"
토마토카레 채소볶음밥,끓이기,밥,612.1,24.5,3.52,4.46,435.2,"감자 20g, 양파 10g, 당근 10g, 피망 5g, 닭가슴살 20g,
밥 200g, 브로콜리 10g, 방울토마토 20g, 플레인 요구르트 15g,
양념 후춧가루 0.1g, 토마토페이스트 20g, 파프리카가루 3g, 카레가루 15g"
구운주먹밥,굽기,밥,335.1,35.43,5.79,6.84,79.4,"현미 100g, 톳 30g, 생김 5g, 달걀 50g,
밥 밑간 참기름 4g, 참깨 2g,
톳 무침양념 설탕 2g, 식초 2g"
깐풍주먹밥,볶기,밥,536.3,37.6,7.15,7.44,111,"칵테일새우 10g, 다진 쇠고기 15g, 후춧가루 1g, 참기름 7g,
찹쌀현미밥 200g, 밀가루 30g, 파인애플 10g, 부추 10g,
소스 다진 마늘 4g, 다진 붉은 고추 7g, 다진 풋고추 7g, 식초 10g,
함초가루 10g, 설탕 15g"
닭봉주먹밥,굽기,밥,553.4,20.5,7.12,6.08,454.1,"닭봉 80g, 우유 20g, 단호박 10g, 새송이버섯 5g, 가지 15g, 주키니호박 15g,
당근 15g, 양파 10g, 시래기 20g, 치즈 20g, 밥 150g, 새싹채소 10g,
양념 후춧가루 3g, 참기름 20g, 간장 5g,
소스 레몬즙 5g, 마요네즈 12g, 꿀 5g, 부순 참깨 2g"
봄주먹밥,끓이기,밥,252.4,19.63,4.29,2.12,118.1,"봄동 10g, 깻잎 6g, 낙지 다리 6g, 참기름 3g,
두릅 8g, 올리브유 4g, 미나리 3g,
주먹밥 데친 꼬막살 14g, 올리브유 4g, 밥 100g, 참깨 3g,
두부강된장 참기름 10g, 다진 양파 14g, 다진 당근 14g,
다진 애호박 14g, 물 150g, 된장 14g,
고춧가루 4g, 다진 마늘 4g, 송송 썬 붉은 고추 4g,
송송 썬 청양고추 4g, 으깬 두부 76g"
깻잎장아찌롤,끓이기,밥,375.2,18.4,2.6,3.4,750.7,"쌀 200g, 깻잎장아찌 30g, 김 5g, 새싹 20g,
밥 밑간 참기름 5g, 참깨 3g,
허브타르타르드레싱 양파 20g, 피클 20g, 삶은 달걀 60g, 마요네즈 20g,
머스터드소스 설탕 3g, 물 5g, 머스터드소스 15g"
참치비빔밥롤,굽기,밥,468.1,19.83,8.57,2.72,171.7,"멥쌀 60g, 완두콩 30g, 달걀 80g, 주키니호박 15g,
당근 15g, 가지 15g, 참치 25g, 김밥용 김 2g, 케일 3g,
참치밑간 후춧가루 3g, 올리브유 5g,
사과드레싱 식초 3g, 굵게 다진 사과 8g, 로즈마리 2g, 꿀 5g,
토마토소스 토마토 50g, 고추 5g"
새싹참치김밥,끓이기,밥,319.8,25.9,5.78,2.75,109.3,"파프리카 15g, 파인애플 15g, 달걀 30g, 김 2g, 밥 150g,
새싹채소 10g, 참치 12g,
소스 저염간장 5g, 마요네즈 2.5g, 설탕 0.5g"
연어주먹밥튀김,튀기기,밥,660.2,25.1,6.56,6.75,537.1,"당근 30g, 피망 30g, 양파 30g, 밥 100g, 마요네즈 20g,
통조림 연어 1캔=130g, 식초 10g, 데리야키소스 15g,
달걀 40g, 빵가루 60g, 어린잎채소 50g,
오리엔탈소스 식초 10g, 레몬즙 15g, 간장 10g, 다진 마늘 10g, 꿀 10g,
올리브유 20g, 참깨 5g"
오징어불고기김밥,끓이기,밥,452.2,14.5,13.9,3.42,244.4,"오징어 몸통 130g, 파프리카 30g, 당근 20g, 피망 30g, 밥 200g,
채 썬 쇠고기 우둔살 60g, 달걀 50g, 김 2g, 깻잎 20g, 새송이버섯 30g,
양념 참기름 15g, 고추장 3g, 매실청 15g"
닭가슴살청포묵비빔밥,끓이기,밥,421.5,28.1,5.19,1.27,104,"닭가슴살 40g, 양배추 10g, 청포묵 30g, 숙주 30g,
쌀 80g, 달걀지단 20g, 무순 5g,
닭고기 삶는 재료 된장 3g, 마늘 5g, 후춧가루 0.1g, 소금 0.1g,
비빔소스 저염간장 4g, 참기름 1g"
족발수육,끓이기,반찬,282.2,16.2,22.2,14.3,471.7,"양념족발 200g, 고구마 150g, 가지 150g, 맥주 400g, 백김치 50g,
 참기름 15g, 통깨 3g"
함초떡갈비,굽기,반찬,254.1,5.7,19.8,16.9,210.5,"갈은 소고기 150g, 갈은 돼지고기 150g, 당근 25g, 새송이버섯 20g,
함초 30g, 양파 25g, 샐러리 10g, 대파 10g,
다진마늘 10g, 참기름 15g, 통깨 5g, 함초소금 1g, 발사믹식초 30g, 설탕 15g, 흰후추 1g"
삼색소면,끓이기,일품,168.1,29.4,8.5,1.8,437.6,"3가지색 소면 각 25g,씩 쪽파 20g, 청고추 20g, 홍고추 15g, 마늘 10g, 다시마물 400g, 모시조개 200g, 볶은소금 1g, 청주 15g"
돼지수육맑은전골,끓이기,국&찌개,120.3,9.6,0.6,8.8,147.7,"통삼겹 250g, 된장 10g, 통후추 2g,
다진대파 5g, 팽이버섯 10g, 당근 20g, 배추 30g, 청경채 20g,
애호박 25g, 숙주 25g, 청양고추 20g, 천연다시다 15g, 물 300g, 다진마늘 5g, 어간장 15g, 겨자 5g, 식초 15g, 깨 5g"
채소비빔밥,끓이기,밥,303.9,41.2,10.4,10.8,189.2,"쌀 150g, 바지락 100g, 다진쇠고기 25g, 물 300g, 참기름 15g, 흰후추 1g, 다진마늘 15g,
애호박 25g, 양파 25g, 오이 25g, 당근 25g, 표고 25g, 두부 50g, 함초 25g, 깻잎 10g, 양파 20g, 다진파 15g, 다진마늘 15g"
열무김치파스타,볶기,일품,270.4,42.1,6.6,8.4,371,"파스타면 50g, 열무김치 100g, 오이 20g, 청홍고추 각각 15g,
노란 파프리카 30g, 양파 30g, 당근 25g,
생들기름 30g, 통깨 2g, 청양고추 30g"
해초갈비찜,끓이기,반찬,288.6,5.2,31.1,16,604.7,"찜갈비 200g, 마른미역줄기 10g, 감자 20g, 양파 25g, 청고추 15g,
홍고추 15g, 대추 4g, 당근 20g, 메추리알 25g, 맛간장 30g, 다진마늘 5g, 다진대파 5g, 생강청 15g, 후추 1g,
참기름 3g, 올리고당 15g, 통깨 1g"
버섯곤드레밥,끓이기,밥,250.2,45.6,8.8,3.7,196.6,"쌀 100g, 건곤드레 10g, 느타리버섯 20g, 참기름 15g, 두부 50g, 된장 15g, 다진청고추 5g, 다진홍고추 5g, 다진마늘 2g,
다진대파 2g, 참기름 15g, 통깨 2g"
바다향이 풍부한 전복죽,끓이기,밥,220.4,34.1,8.7,5.5,95.8,"전복 100g, 당근 15g, 건조미역 10g,
찹쌀 50g, 흑임자 3g, 참기름 15g, 청주 15g, 흰후추 2g"
주꾸미연포탕,끓이기,국&찌개,90.3,6.9,12.3,1.5,280.6,"주꾸미 200g, 무 30g, 양파 50g, 대파 20g, 미나리 20g, 단호박 25g, 청고추 25g, 해물육수 400g, 청양고추 20g, 마늘 10g, 흰후추 1g"
함초소고기말이,굽기,반찬,360.9,11.4,16.3,27.8,269.5,"쇠고기구이용 150g, 알마늘 20g, 홍고추 15g, 양파 60g,
함초 30g, 무순 2g, 노란색파프리카 25g, 마늘기름 15g, 맛간장 15g, 허브식초 15g, 연겨자 10g, 버섯마늘소금 2g"
묵계밥,끓이기,밥,227.9,43.7,7,2.8,82.3,"도토리묵 올방개묵 검정깨묵 각각 25g,
귀리밥 150g, 계란 55g, 콩나물 30g, 닭가슴살 70g, 마늘 10g, 대파 10g, 양파 15g, 맛간장 15g, 흰후추 1g, 버섯마늘소금 2g"
근채류주먹밥,볶기,밥,117.3,25.2,2.4,0.8,11.3,"우엉 20g, 연근 20g, 감자 20g, 청고추 10g, 양파 10g, 당근 10g,
쌀 100g, 오이 70g, 통깨 1g, 맛간장 15g, 참기름 5g, 마늘기름 15g, 함초소금 2g"
단호박약식,찌기,밥,152.2,33.1,3.1,0.8,64.7,"미니 단호박 250g, 찹쌀 100g, 밤 40g, 대추 18g, 크린베리 10g, 맛간장 15g, 참기름 10g, 계피가루 5g"
달콤스테이크,굽기,반찬,175.1,8.7,19.2,7.1,147.7,"소 채끝살 200g, 감자 70g, 시금치 25g, 당근 30g, 레드와인 200cc. 망고 50g, 딸기잼 30g, 볶은소금 0.5g, 후추 2g,
무염버터 5g, 설탕 10g, 레몬즙 5g, 다진양파 15g"
삼색샌드위치,기타,일품,356.4,47.9,14.1,12.4,497.3,"식빵 100g, 토마토 20g, 어린이치즈 20g, 양상추 30g,
감자 30g, 올리고당 20g, 달걀 60g, 당근 20g, 오이 20g,
양파 20g, 소금 0.3g"
황태탕수육,튀기기,반찬,274.4,13.2,17.1,17,365.3,"황태채 100g, 밀가루 30g, 찹쌀가루 10g, 녹말가루 10g,
삼색분말 각 10g, 달걀 50g, 튀김기름 200g,
 파프리카 30g, 양파 30g, 당근 30g, 오이 30g,
파인애플 30g, 저염간장 20g, 설탕 20g, 식초 10g,
물녹말 녹말가루 10g, 물 10g"
